,project,file,rel,h_LOC,k_LOC,h_CC,k_CC,h_bfs,k_bfs,h_churn,k_churn,h_num_pre,k_num_pre,h_num_post,k_num_post,h_exp,k_exp,h_num_bugs,k_num_bugs
143,bookkeeper,/apache/bookkeeper/metastore/InMemoryMetastoreCursor.java,4.2.0,94,65.0,10,10.0,9,18.0,94,0,0,0,1,2.0,133.0,252.0,1,2.0
144,bookkeeper,/apache/bookkeeper/proto/BookieServerBean.java,4.2.0,91,55.0,10,10.0,5,10.0,0,0,0,0,1,2.0,50.0,180.0,1,2.0
145,bookkeeper,/apache/bookkeeper/proto/BookieServerMXBean.java,4.2.0,58,10.0,6,0.0,5,10.0,0,0,0,0,1,2.0,50.0,180.0,1,2.0
146,bookkeeper,/apache/bookkeeper/replication/Auditor.java,4.2.0,503,399.0,77,77.0,7,81.0,192,0,0,0,1,4.0,53.0,432.0,1,4.0
147,bookkeeper,/apache/bookkeeper/replication/AuditorElector.java,4.2.0,325,210.0,39,39.0,3,9.0,224,0,0,0,1,3.0,1.0,252.0,1,3.0
148,bookkeeper,/apache/bookkeeper/replication/ReplicationWorker.java,4.2.0,357,274.0,41,41.0,2,18.0,43,0,0,0,1,4.0,53.0,432.0,1,4.0
149,camel,/org/apache/camel/Component.java,2.10.0,46,5.0,2,0.0,23,0.0,0,0,0,0,1,0.0,1048.0,0.0,1,0.0
150,camel,/org/apache/camel/Exchange.java,2.10.0,511,144.0,38,0.0,3,3.0,9,0,0,0,2,2.0,475.5,880.0,1,2.0
151,camel,/apache/camel/builder/BuilderSupport.java,2.10.0,491,198.0,51,51.0,2,2.0,0,0,0,0,1,1.0,1.0,0.0,1,1.0
152,camel,/apache/camel/builder/LoggingErrorHandlerBuilder.java,2.10.0,99,60.0,15,15.0,15,29.0,0,0,0,0,1,2.0,1054.0,1888.0,1,2.0
153,camel,/apache/camel/builder/NotifyBuilder.java,2.10.0,1620,997.0,260,253.0,147,2.0,10,10,1,1,2,1.0,1066.5,944.0,1,1.0
154,camel,/camel/builder/xml/XPathBuilder.java,2.10.0,1084,732.0,172,172.0,73,73.0,0,0,0,0,1,1.0,1021.0,944.0,1,1.0
155,camel,/camel/component/bean/AbstractCamelInvocationHandler.java,2.10.0,217,139.0,30,30.0,41,41.0,0,0,0,0,1,1.0,1055.0,944.0,1,1.0
156,camel,/camel/component/bean/BeanInfo.java,2.10.0,947,640.0,150,150.0,7,7.0,14,14,1,1,1,1.0,1047.0,944.0,1,1.0
157,camel,/camel/component/bean/CamelInvocationHandler.java,2.10.0,47,19.0,3,3.0,5,5.0,0,0,0,0,1,1.0,1055.0,944.0,1,1.0
158,camel,/camel/component/bean/PojoMessageInvocationHandler.java,2.10.0,48,21.0,5,5.0,8,8.0,0,0,0,0,1,1.0,1055.0,944.0,1,1.0
159,camel,/camel/component/bean/RegistryBean.java,2.10.0,138,93.0,23,23.0,2,2.0,0,0,0,0,1,1.0,435.0,440.0,1,1.0
