,project,file,rel,h_LOC,k_LOC,h_CC,k_CC,h_bfs,k_bfs,h_churn,k_churn,h_num_pre,k_num_pre,h_num_post,k_num_post,h_exp,k_exp,h_num_bugs,k_num_bugs
15369,derby,/store/raw/data/LogicalPageOperation.java,10.3.1.4,419,159.0,23,22.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15370,derby,/store/raw/data/LogicalUndoOperation.java,10.3.1.4,243,108.0,20,20.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15371,derby,/store/raw/data/LongColumnException.java,10.3.1.4,79,35.0,7,7.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15372,derby,/store/raw/data/MemByteHolder.java,10.3.1.4,525,317.0,61,61.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15373,derby,/store/raw/data/NoSpaceOnPage.java,10.3.1.4,47,12.0,2,2.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15374,derby,/store/raw/data/OverflowInputStream.java,10.3.1.4,194,94.0,13,13.0,54,54.0,0,0,0,0,1,1.0,3.0,0.0,1,1.0
15375,derby,/store/raw/data/PageActions.java,10.3.1.4,289,92.0,9,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15376,derby,/store/raw/data/PageBasicOperation.java,10.3.1.4,407,200.0,39,38.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15377,derby,/store/raw/data/PageVersion.java,10.3.1.4,61,28.0,5,5.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15378,derby,/store/raw/data/PhysicalPageOperation.java,10.3.1.4,149,29.0,4,3.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15379,derby,/store/raw/data/PhysicalUndoOperation.java,10.3.1.4,223,107.0,20,20.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15380,derby,/store/raw/data/PurgeOperation.java,10.3.1.4,302,144.0,24,24.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15381,derby,/store/raw/data/RAFContainer.java,10.3.1.4,1572,922.0,147,147.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15382,derby,/store/raw/data/RAFContainer4.java,10.3.1.4,400,218.0,37,37.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15383,derby,/store/raw/data/RFResource.java,10.3.1.4,256,159.0,26,26.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15384,derby,/store/raw/data/RawField.java,10.3.1.4,35,10.0,2,2.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
