,id,exp,priority,bfs,project,norm_exp,norm_priority,norm_bfs,cost
6746,PIG-3060,392.0,3.0,4,pig,1.0000000000000002,0.5,0.001937984496124031,1.2897151961236126
6747,PIG-3066,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6748,PIG-3071,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6749,PIG-3072,26.0,2.0,2,pig,0.0639386189258312,0.25,0.0006459948320413437,0.04048876189974588
6750,PIG-3073,45.0,3.0,2,pig,0.11253196930946292,0.5,0.0006459948320413437,0.08690270846774725
6751,PIG-3078,45.0,3.0,2,pig,0.11253196930946292,0.5,0.0006459948320413437,0.08690270846774725
6752,PIG-3081,26.0,3.0,2,pig,0.0639386189258312,0.5,0.0006459948320413437,0.04937653890212912
6753,PIG-3082,45.0,3.0,2,pig,0.11253196930946292,0.5,0.0006459948320413437,0.08690270846774725
6754,PIG-3084,21.0,3.0,2,pig,0.05115089514066496,0.5,0.0006459948320413437,0.0395012311217033
6755,PIG-3085,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6756,PIG-3095,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6757,PIG-3096,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6758,PIG-3097,392.0,3.0,4,pig,1.0000000000000002,0.5,0.001937984496124031,1.2897151961236126
6759,PIG-3098,45.0,3.0,2,pig,0.11253196930946292,0.5,0.0006459948320413437,0.08690270846774725
6760,PIG-3100,218.5,3.0,4,pig,0.5562659846547314,0.5,0.001937984496124031,0.7185932294889857
6761,PIG-3100,218.5,3.0,4,pig,0.5562659846547314,0.5,0.001937984496124031,0.7185932294889857
6762,PIG-3101,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6763,PIG-3106,317.0,3.0,2,pig,0.8081841432225064,0.5,0.0006459948320413437,0.624119451722912
6764,PIG-3107,317.0,3.0,9,pig,0.8081841432225064,0.5,0.00516795865633075,2.0896151263381046
6765,PIG-3107,317.0,3.0,9,pig,0.8081841432225064,0.5,0.00516795865633075,2.0896151263381046
6766,PIG-3108,21.0,3.0,2,pig,0.05115089514066496,0.5,0.0006459948320413437,0.0395012311217033
6767,PIG-3110,392.0,3.0,2,pig,1.0000000000000002,0.5,0.0006459948320413437,0.7722490684292994
6768,PIG-3112,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6769,PIG-3114,392.0,3.0,2,pig,1.0000000000000002,0.5,0.0006459948320413437,0.7722490684292994
6770,PIG-3115,392.0,3.0,2,pig,1.0000000000000002,0.5,0.0006459948320413437,0.7722490684292994
6771,PIG-3120,73.0,4.0,2,pig,0.1841432225063939,0.75,0.0006459948320413437,0.1665635245631822
6772,PIG-3122,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6773,PIG-3125,34.0,3.0,2,pig,0.0843989769820972,0.5,0.0006459948320413437,0.06517703135081043
6774,PIG-3132,351.0,3.0,54,pig,0.8951406649616369,0.5,0.034237726098191215,12.741780452157425
6775,PIG-3132,351.0,3.0,54,pig,0.8951406649616369,0.5,0.034237726098191215,12.741780452157425
6776,PIG-3135,73.0,3.0,45,pig,0.1841432225063939,0.5,0.028423772609819122,2.2370863891924633
6777,PIG-3135,73.0,3.0,45,pig,0.1841432225063939,0.5,0.028423772609819122,2.2370863891924633
6778,PIG-3135,73.0,3.0,45,pig,0.1841432225063939,0.5,0.028423772609819122,2.2370863891924633
6779,PIG-3137,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6780,PIG-3139,17.0,3.0,2,pig,0.04092071611253197,0.5,0.0006459948320413437,0.031600984897362634
6781,PIG-3140,17.0,3.0,2,pig,0.04092071611253197,0.5,0.0006459948320413437,0.031600984897362634
6782,PIG-3144,34.0,3.0,2,pig,0.0843989769820972,0.5,0.0006459948320413437,0.06517703135081043
6783,PIG-3145,73.0,3.0,6,pig,0.1841432225063939,0.5,0.003229974160206718,0.33707717223853473
6784,PIG-3145,73.0,3.0,6,pig,0.1841432225063939,0.5,0.003229974160206718,0.33707717223853473
6785,PIG-3147,39.0,5.0,2,pig,0.09718670076726343,1.0,0.0006459948320413437,0.10138649321237178
6786,PIG-3149,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6787,PIG-3150,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6788,PIG-3153,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6789,PIG-3154,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6790,PIG-3155,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6791,PIG-3156,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6792,PIG-3158,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6793,PIG-3161,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6794,PIG-3167,45.0,1.0,2,pig,0.11253196930946292,0.0,0.0006459948320413437,0.05661843127444139
6795,PIG-3168,73.0,3.0,14,pig,0.1841432225063939,0.5,0.008397932816537468,0.7268226526393406
6796,PIG-3168,73.0,3.0,14,pig,0.1841432225063939,0.5,0.008397932816537468,0.7268226526393406
6797,PIG-3172,26.0,3.0,2,pig,0.0639386189258312,0.5,0.0006459948320413437,0.04937653890212912
6798,PIG-3173,26.0,3.0,2,pig,0.0639386189258312,0.5,0.0006459948320413437,0.04937653890212912
6799,PIG-3186,62.0,3.0,2,pig,0.15601023017902815,0.5,0.0006459948320413437,0.12047875492119503
6800,PIG-3189,21.0,3.0,149,pig,0.05115089514066496,0.5,0.09560723514211886,2.168617588581511
6801,PIG-3191,45.0,4.0,2,pig,0.11253196930946292,0.75,0.0006459948320413437,0.10204484706440019
6802,PIG-3192,45.0,3.0,2,pig,0.11253196930946292,0.5,0.0006459948320413437,0.08690270846774725
6803,PIG-3193,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
