project,major,minor,hash
accumulo,1.0,6.0,818426c3aa87eee79df0f5d1768c0eeb24e98d4b
accumulo,1.0,6.0,0c4a956633f96a3426df94dcfefee4e86e5aa3f6
accumulo,1.0,6.0,5dba407cce3da15900b0fbbecea234ee55943dbf
accumulo,1.0,6.0,e2efee6d58f1ad67554134dddbfb3f28df025f3a
accumulo,1.0,6.0,b45313bebc9a221d517f523ce092aaa6e1348315
accumulo,1.0,6.0,625801848cbb93ac0240eecf09ce62f225ee0960
accumulo,1.0,6.0,5f726968ec19de8c37255656933509a9528b40ff
accumulo,1.0,6.0,2ef2d88598f5e14f8f96b77fecca66dcd7196448
accumulo,1.0,6.0,7e106a21a0dfb80296615cda9dce0033480a83bd
accumulo,1.0,6.0,3478f71ae888f8d73aaa93837319a6dbb4ba0c8a
accumulo,1.0,6.0,3145cce079e61d5f4c28fa4d2ecbb5a4d048a432
accumulo,1.0,6.0,a74f392ea834923b47bf338bbcd8d6484bd02e6f
accumulo,1.0,6.0,a38b004f6d6bd7575863b58e926a8e4422bfbe22
accumulo,1.0,6.0,ab5118bc82287771b416d873283bd0a15ec27779
accumulo,1.0,6.0,4129a2035baa2a71321aec5ab11248dd22a2a9be
accumulo,1.0,6.0,ce1d965c67bdb13647acd683f5e3a94c53999e6c
accumulo,1.0,6.0,7059c767bfbcd2def59556ed63cdfe443f2d336b
accumulo,1.0,6.0,dcc19ccbada8c2f0a206ec797455294015e8ca6d
accumulo,1.0,6.0,ac18b569738b6dd8f950ee5d747af5176bbc8d13
accumulo,1.0,6.0,45c2aea2116a900aed79bf11a936a9ea23802abd
accumulo,1.0,6.0,389831727a8f6ab2fda98f279a5cba442081ca69
accumulo,1.0,6.0,4abb3f1afd7c0f44cb71671148629cfcbbf5746f
accumulo,1.0,6.0,732f037ea029f32715ffeff82b6cd2e880e2fdf6
accumulo,1.0,6.0,a06b6c6e44cbb28584e93ff88395e7fbaa637035
accumulo,1.0,6.0,b68ae97b92fc5e429fc42913708159eca993e2a6
accumulo,1.0,6.0,7b3567f853be562e0a326956b99752289d14a261
accumulo,1.0,6.0,75aac15d568d5a2d0a50b9bbe813551615d14d1f
accumulo,1.0,6.0,e9966e929fd94cdf53f67132c705eeb9893edaa9
accumulo,1.0,6.0,a4bf9ede1ec3c9a2b45ebb5fb7d97ee45bce3803
accumulo,1.0,6.0,a27f60b2e69c1df056ca6b1306017d93118d81f3
accumulo,1.0,6.0,ad5f09bef77063ae436cd9325bf1fc51f6c6ab1b
accumulo,1.0,6.0,8d94812cb7c15bc13e93a148573c58357120d7df
accumulo,1.0,6.0,884b69a483e547b4403a8cd1a8e477b8e4ae0349
accumulo,1.0,6.0,d4b06999694fc1238fad0a19fd6544520b44a620
accumulo,1.0,6.0,b93032190b4cc1bd00c7c0faf121899464c80919
accumulo,1.0,6.0,19e6b101806e5fffdf632e7696b58827eb2e26cf
accumulo,1.0,6.0,b94e308e5dcfc4bd19c735e9d323ea90b3d7d54c
accumulo,1.0,6.0,ec4bc2fb274003e09fab0107f0b6d37a7df0df3a
accumulo,1.0,6.0,7f789ecbdcb902f9a14ddb2192ffa5a42bb2787b
accumulo,1.0,6.0,7820120fb2ce4c18317ab77b6439197084ceac8f
accumulo,1.0,6.0,fcc17fc0aa6f6a3a60de94786db02d7c4b68dfea
accumulo,1.0,6.0,5eb19c67519ab87c79c1570bf9d0e0edac4a1232
accumulo,1.0,6.0,ccffeeeb57301be4373df9a971b63c40304947f5
accumulo,1.0,6.0,26c51db4d77bbba2d9ce50e1d6d0efc718618e50
accumulo,1.0,6.0,4e331fabdb7a26bbfd6df7a2aa2bb62e09d52d82
accumulo,1.0,6.0,55e864ce9ac6a5f643ddbacfb8d7a3a98c5c90b2
accumulo,1.0,6.0,43bf128e4393d367cdbfb5debce4de09f69bd562
accumulo,1.0,6.0,d277321d176b71753d391f896f09dc9785173cb0
accumulo,1.0,6.0,7a4886c44662da0aca6d24a53873762a81aa6396
accumulo,1.0,6.0,b11a03615d583a3f7cc6bebd975d98d3552b83cd
accumulo,1.0,6.0,8f4c5005d43551e07399a0aaccd705ee982fe754
accumulo,1.0,6.0,ae20140036aad8dd68f0973ca69b346b25288042
accumulo,1.0,6.0,da906f04f608b11122140a4a29bbb1f9fbde5387
accumulo,1.0,6.0,c5a787b6205fb73b46c96cc53afb1114eaffa42a
accumulo,1.0,6.0,1d411fbe829cd72d9c7d888c829c545e4da8cb16
accumulo,1.0,6.0,f11eb1db95ef032780609442476f429827d45fb6
accumulo,1.0,6.0,6537d7a1f954246f9c449acb136b3fd2207889a9
accumulo,1.0,6.0,b76c8f4c5388499304a1a66574da30b573c28215
accumulo,1.0,6.0,b1f0336dd26d0eb7c2dd0b3635e8556f451418c5
accumulo,1.0,6.0,b33559c71eedb984b80fe70272e4035099a922dc
accumulo,1.0,6.0,b80e1a4f9c9b180c9862964a9042b9ad70e1d9e7
accumulo,1.0,6.0,6716227f441eaae35bd25a9c95d33c7fa29753df
accumulo,1.0,6.0,16e095fde29bd0898d3cdeda525b1ac56497e47e
accumulo,1.0,6.0,f382cd8bb7b704b4b8f3197d7f0389d4053cfc31
accumulo,1.0,6.0,f1ae5a860bf7a32efc744adb52f54d1a394fd6b0
accumulo,1.0,6.0,783e895fbab086059c0a3d64f8fba566973ffcc6
accumulo,1.0,6.0,cabe14a15dfc34e78b086a639eb1ccc2334ced3a
accumulo,1.0,6.0,8981ba04e6e2e5a7c41175451e2b5e5e41401153
accumulo,1.0,6.0,64d66e1dca281e7022ca5329f31b553ac8ebc172
accumulo,1.0,6.0,04a89fce98e7a777d313f1c99cd2fd15e0e0ae06
accumulo,1.0,6.0,11d803cf11a76785c36e0f62989ae0d326c97b2b
accumulo,1.0,6.0,680433becd10548b8ada2041c993295b50e3794e
accumulo,1.0,6.0,06f80305e4587f519cb3dfae0686b52b32e7a0b8
accumulo,1.0,6.0,1f99e6e14609b3aee51cdeb998b0ee258d959911
accumulo,1.0,6.0,7a677b596abd1ebde2e430793a099682b38e0e54
